"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
carpeta-presentacion-a4-2-anillos-avery-lomo-ancho;"Carpeta Presentación A4 2 Anillos AVERY Lomo Ancho";"Facultad > Carpetas > Carpeta A4, Oficina > Biblioratos, Oficina > Carpetas > Carpeta A4";;;;;;;5,371.75;;0.15;9.00;32.00;27.50;5;062724;;SI;NO;;"a4, bibliorato, blanca, carpeta, lomo ancho, presentacion";;;AVERY;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas-azul-fluo;"Taco Nota Adhesiva 75X75X50 Transparente Azul FLUO";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,550.00;;0.01;0.50;12.00;9.00;5;102524;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas-verde-fluo-copia;"Taco Nota Adhesiva 75X75X50 Transparente Verde FLUO";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,550.00;;0.01;0.50;12.00;9.00;5;102523;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas-amarillo-fluo;"Taco Nota Adhesiva 75X75X50 Transparente Amarillo FLUO";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,550.00;;0.01;0.50;12.00;9.00;5;102522;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas-naranja-fluo;"Taco Nota Adhesiva 75X75X50 Transparente Naranja FLUO";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,550.00;;0.01;0.50;12.00;9.00;5;102521;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas-magenta-fluo;"Taco Nota Adhesiva 75X75X50 Transparente Magenta FLUO";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,550.00;;0.01;0.50;12.00;9.00;5;102520;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
taco-nota-adhesiva-75x75mm-transparente-x-50-hojas;"Taco Nota Adhesiva 75X75X50 Transparente";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;2,450.00;;0.01;0.50;12.00;9.00;5;102519;;SI;NO;;"75x75, adhesivo, taco, transparente";;;LIGGO;SI;;;;
nota-adhesiva-5x6x150mm-transparente-fluo-x-125-hojas;"Nota Adhesiva 5x6x150mm Transparente FLUO x 125 hojas";"Facultad > Notas y Notas Autoadhesivas, Oficina > Notas y Notas Autoadhesivas";;;;;;;1,800.00;;0.01;0.50;6.00;20.00;5;102531;;SI;NO;;"adhesiva, nota, transparente";;;LIGGO;SI;;;;
agenda-2024-fw-semanal-universitaria-varios-modelos;"Agenda 2024 FW Semanal Universitaria Varios Modelos";"FW > Agendas, Agendas > Semanales";;;;;;;14,425.60;;0.69;4.00;19.00;22.00;4;322600;;SI;NO;;"a5, agenda, semanal, universitaria";;;FW;SI;;;;
termo-contigo-1-1lts-con-manija-specked;"Termo CONTIGO 1.1Lts Con Manija Specked";"Dia De La Madre, Bazar / Otros";;;;;;;37,200.00;;0.50;9.00;11.00;33.00;5;570111;;SI;NO;;"acero, inoxidable, termo";;;CONTIGO;SI;;;;
termo-contigo-1-1lts-con-manija-carbon;"Termo CONTIGO 1.1Lts Con Manija Carbon";"Dia De La Madre, Bazar / Otros";;;;;;;37,200.00;;0.50;9.00;11.00;33.00;5;570112;;SI;NO;;"acero, inoxidable, termo";;;CONTIGO;SI;;;;
termo-contigo-1-1lts-con-manija-texturado;"Termo CONTIGO 1.1Lts Con Manija Texturado";"Dia De La Madre, Bazar / Otros";;;;;;;37,200.00;;0.50;9.00;11.00;33.00;5;570110;;SI;NO;;"acero, inoxidable, termo";;;CONTIGO;SI;;;;
set-de-mate-duo-rosa-dia-de-la-madre;"Set de Mate DUO Rosa DÍA DE LA MADRE";"Dia De La Madre, Bazar / Otros, Rosa";;;;;;;4,250.00;;0.20;9.50;9.50;22.00;5;570115;;SI;NO;;"dia de la madre, duo, mama, mate, rosa, set";;;PPR;SI;;;;
set-mate-ppr-deluxe-colores-lgbtiqa;"Set MATE PPR Deluxe Colores LGBTIQA";"Dia De La Madre, Bazar / Otros";;;;;;;4,990.00;;0.30;9.50;17.00;20.00;5;570069;;SI;NO;;"blanco, dia de la madre, LGBT, LGBTIQA, madera, mama, mate, set";;;PPR;SI;;;;
set-mate-ppr-deluxe-dia-de-la-madre-blanco;"Set MATE PPR Deluxe DIA DE LA MADRE Blanco";"Dia De La Madre, Bazar / Otros";;;;;;;4,990.00;;0.30;9.50;17.00;20.00;5;570107;;SI;NO;;"blanco, dia de la madre, madera, mama, mate, set";;;PPR;SI;;;;
set-mate-ppr-deluxe-dia-de-la-madre-rosa;"Set MATE PPR Deluxe DIA DE LA MADRE Rosa";"Dia De La Madre, Bazar / Otros, Rosa";;;;;;;4,990.00;;0.30;9.50;17.00;20.00;5;570108;;SI;NO;;"dia de la madre, madera, mama, mate, rosa, set";;;PPR;SI;;;;
cartuchera-sabonis-tubo-chica;"Cartuchera Sabonis Tubo Chica";"Escolar > Cartucheras";;;;;;;3,410.00;;0.10;5.00;5.00;21.00;8;381323;;SI;NO;;"canopla, cartuchera, escolar, estuche, tubo";;;sabonis;SI;;;;
set-oficina-ppr-river-plate;"Set Oficina PPR River Plate";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;10,990.00;;0.20;3.00;15.00;15.00;5;102513;;SI;NO;;"escritorio, oficina, river, river plate, set";;;PPR;SI;;;;
set-oficina-ppr-boca-juniors;"Set Oficina PPR Boca Juniors";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio";;;;;;;10,990.00;;0.20;3.00;15.00;15.00;5;102514;;SI;NO;;"boca, boca juniors, escritorio, oficina, set";;;PPR;SI;;;;
set-oficina-ppr-pastel;"Set Oficina PPR Pastel";"Facultad > Organizador Escritorio, Oficina > Organizador de Escritorio, Oficina > Portataco y Artículos Escritorio, Mundo Pastel, Rosa";;;;;;;8,250.00;;0.20;3.00;15.00;15.00;5;102515;;SI;NO;;"escritorio, oficina, pastel, set";;;PPR;SI;;;;
