CODART;BARRAS;NOMBRE;EXIS;PRECIO
010001;4902505019500;PORTAMINA PILOT H2020 05 METAL;0;4702,088
010002;4902505289538;PORTAMINA PILOT H2020 05;0;4702,088
010003;;PORTAMINA BIC SUNNIES/DISNEY;24;422,690
010004;;BOLIG.SABONIS 512-20 PELTR.SAPPHIRE;0;3003,099
010005;;BOLIG.SABONIS 711-1 B.SUNNY;0;2079,025
010006;;BOLIG.BIC FASHION/SHIMERS;2283;453,024
010007;4004675041838;BOLIG.SCHNEIDER ROLLER ZIPPI A CART;2;44,130
010008;4902505289569;PORTAMINA PILOT H2020 05;0;4702,088
010009;40127910;BOLIG.PELIKAN G.PRIX 2 PUNTAS NARAN;0;5148,685
010010;;PLUMIN PLASTICO;99;733,590
010011;40127903;BOLIG.PELIKAN G.PRIX 2 PUNTAS VIOLE;0;5148,685
010012;;FIBRA BIC CONTE FINA # COLORES;0;519,481
010013;4902505375774;BOLIG.PILOT ACROBALL 15 CELESTE;-5;2432,115
010014;;BOLIG.BIC 1MM.OPACA AZUL;5991;456,000
010015;3474370505040;MINAS PENTEL 05 2B;7;539,610
010016;;BOLIG.BIC 1MM.OPACA ROJO;4118;456,000
010017;072512007396;MINAS PENTEL 05 2H;101;539,610
010018;;BOLIG.BIC 1MM.OPACA NEGRO;4807;456,000
010019;3474370505088;MINAS PENTEL 05 H;21;539,610
010020;;BOLIG.BIC 08MM.CRISTAL AZUL;4479;516,000
010021;;BOLIG.BIC 08MM.CRISTAL ROJO;3505;516,000
010022;;BOLIG.BIC 08MM.CRISTAL NEGRO;5486;516,000
010023;;BOLIG.CORDOBA J.C.726;-5;1133,280
010024;;BOLIG.CORDOBA J.C.0005;-5;395,460
010025;;BOLIG.CORDOBA J.C.939;-3;528,120
010026;40127897;BOLIG.PELIKAN G.PRIX 2 PUNTAS CELES;0;5148,685
010027;3474370505828;MINAS PENTEL 05 HB;33;539,610
010028;;BOLIG.BIC RONDO NEGRO;85;258,757
010029;;BOLIG.BIC RONDO AZUL;29;258,757
010030;;BOLIG.BIC RONDO ROJO;56;258,757
010031;;BOLIG.BIC RONDO VERDE;0;258,757
010032;;BOLIG.BIC ROLLER GRIP NEGRO;14;1599,381
010033;;BOLIG.BIC ROLLER GRIP AZUL;120;1599,381
010034;7795245104516;LAPIZ COLOR X12 C.P.MATE;187;582,435
010035;7795245104523;LAPIZ COLOR X6 C.P.MATE;0;289,557
010036;;BOLIG.P.MATE STICK 2020 AZUL/ROJO/N;0;129,886
010037;;BOLIG.FABER VISION FINER 0,5;0;2670,134
010038;;FIBRA FABER GRIP FINEPEN 04;0;1228,669
010039;7754111602518;MARCADOR P/PIZ.AZUL FABER 152;0;2257,017
010040;7807265995163;FIBRA COLOR X10 ART ATTACK C/SELLO;-3;657,930
010041;;FIBRA COLOR X6 PELIKAN MARK.TWIST;-1;141,591
010042;7794360485654;FIBRA COLOR X20 FABER LARGAS;2;6825,945
010043;7754111846202;FIBRA COLOR X20 FABER GRIP;6;9358,393
010044;7754111652230;MARCADOR FABER 52 PERMANENTE NEGRO;7;873,281
010045;7793198412092;ESTILOG.005 PIZZINI;184;1713,600
010046;7754111024990;FIBRA COLOR X10 FABER FIESTA 45;0;2972,044
010047;7754111846103;FIBRA COLOR X10 FABER GRIP;0;5008,003
010048;4004675041869;BOLIG.SCHNEIDER ROLLER ZIPPI A CART;-3;44,130
010049;77915115;RESALTADOR PELIKAN FLASH AMARILLO;58;654,638
010050;3474370507020;MINAS PENTEL 07 B;160;539,610
010051;;BOLIG.SIMBALL COLE A CARTUCHO;-79;862,500
010052;;BOLIG.SABONIS 512-2 R.B.CITY;0;2252,253
010053;7891360658832;LAPIZ COLOR X10 L.FABER PASTEL;129;4509,718
010054;7891360668107;LAPIZ COLOR X10 L.FABER ACUAR.PASTE;78;6484,113
010055;7794360935173;LAPIZ COLOR X4 L.FABER +1 FLUO;0;3071,681
010056;;LAPIZ BICOLOR AZUL-ROJO FABER;0;319,911
010057;7891360533016;LAPIZ COLOR X12/24 FABER BICOLOR;0;6014,827
010058;7891360492412;LAPIZ NEGRO FABER CARPINTERO;261;933,926
010059;7891360300793;LAPIZ COLOR X6 C.GREENCASTLE;6;758,962
010060;7806710019881;LAPIZ COLOR X12 L.VINCI CROMOMEGA;0;632,580
010061;7891360545811;LAPIZ COLOR X24 L.FABER TRIANG.;0;8311,804
010062;;BOLIG.SABONIS 238GL ROLLER;0;242,618
010063;9556091125135;BOLIG.STABILO 208 ROLLER GEL;0;716,418
010064;;PORTAMINA P.MATE 2020 0.5/7;12;300,847
010065;4004764780112;TINTA P/MARC.P/PIZ.EDDING 25 NEGRO;0;6151,061
010066;7891360493396;LAPIZ NEGRO FABER GRIP 2001;0;879,754
010067;7891360548843;LAPIZ COLOR X12 FABER JUMBO TRIANG.;0;10034,143
010068;7795245921144;LAPICERA PARKER VECTOR ADDICT NA/TU;0;6923,302
010069;;MINAS PENTEL 07 H;46;539,610
010070;3474370509048;MINAS PENTEL 09 2B;2;674,513
010071;;BOLIG.PENTEL HYBRID GEL NEGRO;-1;350,929
010072;;BOLIG.PENTEL HYBRID GEL AZUL;0;350,929
010073;074040878967;BOLIG.SHEAFFER 137 AWARD;0;4222,983
