"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";Peso;Alto;Ancho;Profundidad;Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca
marcadores-crayola-emoji-x10;"Marcadores Crayola Emoji x10";"Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Marcadores, Oficina > Marcadores";;;;;;;385.00;;0.14;1.50;17.00;16.00;20;014220;;SI;NO;;;;;crayola
resaltador-stabilo-boss-original;"Resaltador Stabilo Boss Original";"Oficina > Resaltadores, Escolar > Fibras\, Marcadores y Resaltadores, Facultad > Resaltadores";Color;Rojo;;;;;72.00;66.00;0.02;1.50;2.70;10.50;0;11532;;SI;NO;;"stabilo, resaltador";;;stabilo
resaltador-stabilo-boss-original;;;Color;Amarillo;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;11514;;;;;;;;
resaltador-stabilo-boss-original;;;Color;Púrpura;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;12523;;;;;;;;
resaltador-stabilo-boss-original;;;Color;Verde;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;11531;;;;;;;;
resaltador-stabilo-boss-original;;;Color;Rosa;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;11535;;;;;;;;
resaltador-stabilo-boss-original;;;Color;Naranja;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;11534;;;;;;;;
resaltador-stabilo-boss-original;;;Color;celeste;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;11533;;;;;;;;
resaltador-stabilo-boss-original;;;Color;fuscia;;;;;72.00;66.00;0.02;1.50;2.70;10.50;10;12524;;;;;;;;
microfibras-stabilo-point-88-pastel-x-8-unidades;"Microfibras Stabilo Point 88 pastel x 8 unidades";"Mundo Pastel, Oficina > Resaltadores, Escolar > Fibras\, Marcadores y Resaltadores";;;;;;;540.00;506.00;0.06;1.00;7.00;17.00;68;14155;;SI;NO;;"pastel, point 88";;;stabilo
marcadores-stabilo-pastel-pen-68-x-8-u;"Marcadores Stabilo Pastel Pen 68 X 8 U";"Mundo Pastel, Oficina > Resaltadores, Escolar > Fibras\, Marcadores y Resaltadores, Oficina > Marcadores > Indelebles";;;;;;;540.00;506.00;0.06;0.00;0.00;0.00;0;14151;;SI;NO;;marcadores;;;stabilo
resaltador-edding-342;"Resaltador Edding 342";"Oficina > Resaltadores, Escolar > Fibras\, Marcadores y Resaltadores";Color;Verde;;;;;71.87;;0.02;1.50;2.80;11.00;200;11946;;SI;NO;;;;;
resaltador-edding-342;;;Color;Azul;;;;;71.87;;0.02;1.50;2.80;11.00;200;11945;;;;;;;;
resaltador-edding-342;;;Color;Amarillo;;;;;71.87;;0.02;1.50;2.80;11.00;200;11942;;;;;;;;
resaltador-edding-342;;;Color;Rosa;;;;;71.87;;0.02;1.50;2.80;11.00;200;11944;;;;;;;;
resaltador-edding-342;;;Color;Naranja;;;;;71.87;;0.02;1.50;2.80;11.00;200;11943;;;;;;;;
goma-de-borrar-2-banderas;"Goma De Borrar 2 Banderas";"Oficina > Goma de borrar, Escolar > Gomas de borrar, Facultad > Correctores y Borradores";;;;;;;10.00;;0.02;0.80;5.50;2.00;700;110003;;SI;NO;;borrador;;;"dos banderas"
goma-de-borrar-2-banderas1;"Goma De Borrar 2 Banderas";"Oficina > Goma de borrar, Escolar > Gomas de borrar";;;;;;;11.25;;0.01;0.80;6.00;1.20;1000;110026;;SI;NO;;borrador;;;"2 banderas"
adhesivo-sta-1-kg;"Adhesivo Sta 1 Kg";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;256.25;;1.02;22.00;8.30;8.30;35;50158;;SI;NO;;;;;
adhesivo-sta-100-gr;"Adhesivo Sta 100 Gr";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;37.50;;0.11;11.90;4.20;4.20;150;50150;;SI;NO;;adhesivo;;;Sta
adhesivo-sta-500-gr;"Adhesivo Sta 500 Gr";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;131.25;;0.50;16.40;7.00;7.00;100;50157;;SI;NO;;"adhesivo, plasticola";;;sta
adhesivo-50ml-voligoma-transparente;"Adhesivo 50Ml. Voligoma Transparente";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;74.75;;0.07;12.20;2.70;2.70;220;050044;;SI;NO;;;;;voligoma
adhesivo-en-barra-pritt-20-gr;"Adhesivo En Barra Pritt 20 Gr";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;136.56;;0.04;9.50;2.50;2.50;315;050060;;SI;NO;;;;;
adhesivo-silicona-liquida-pritt-105-gr;"Adhesivo Silicona Liquida Pritt 105 Gr";"Oficina > Adhesivos, Escolar > Adhesivos";;;;;;;165.00;;0.12;15.00;6.00;3.00;20;050130;;SI;NO;;;;;
block-a4-rayado-husares-80-hojas;"Block A4 Rayado Husares 80 Hojas";"Escolar > Blocks de hojas y repuestos";;;;;;;181.20;;0.41;0.90;30.00;21.00;129;120055;;SI;NO;;;;;
block-a4-cuadriculado-husares-por-80-hojas;"Block A4 Cuadriculado Husares Por 80 Hojas";"Escolar > Blocks de hojas y repuestos";;;;;;;162.00;;0.41;0.90;30.00;21.00;108;120070;;SI;NO;;;;;
calculadora-cifra-dt150;"Calculadora Cifra Dt150";"Oficina > Calculadora, Escolar > Calculadoras";;;;;;;750.00;;0.07;0.90;10.40;18.50;25;220126;;SI;NO;;;;;
cinta-auca-48x50-fragil;"Cinta Auca 48X50 Fragil";"Oficina > Cinta Adhesiva";;;;;;;80.00;;0.13;4.90;9.70;9.70;60;300088;;SI;NO;;;;;
cinta-auca-48x50-marron;"Cinta Auca 48X50 Marron";"Oficina > Cinta Adhesiva";;;;;;;65.00;;0.12;4.90;9.50;9.50;800;300046;;SI;NO;;;;;
cinta-auca-48x50-transparente;"Cinta Auca 48X50 Transparente";"Oficina > Cinta Adhesiva";;;;;;;65.00;;0.11;4.90;9.50;9.50;1000;300045;;SI;NO;;;;;
cinta-auca-bifaz-12x25;"Cinta Auca Bifaz 12X25";"Oficina > Cinta Adhesiva";;;;;;;88.00;;0.05;1.20;10.00;10.00;70;300069;;SI;NO;;;;;
clip-sifap-n2-x100;"Clip Sifap Nº2 X100";"Oficina > Clips y Chinches";;;;;;;19.50;;0.04;4.00;4.00;5.50;120;101366;;SI;NO;;;;;
clip-sifap-n3-x100;"Clip Sifap Nº3 X100";"Oficina > Clips y Chinches";;;;;;;22.10;;0.04;2.00;6.00;4.20;150;100122;;SI;NO;;;;;
clip-sifap-n4-x100;"Clip Sifap Nº4 X100";"Oficina > Clips y Chinches";;;;;;;26.00;;0.05;2.00;6.00;4.20;150;100123;;SI;NO;;;;;
clips-sifap-n5-x-100-unidades;"Clip Sifap N°5 X 100 Unidades";"Oficina > Clips y Chinches";;;;;;;36.40;;0.06;2.50;6.40;4.20;100;100117;;SI;NO;;;;;
clip-sifap-n8-x50;"Clip Sifap Nº8 X50";"Oficina > Clips y Chinches";;;;;;;117.00;;0.18;3.20;8.70;5.40;120;101211;;SI;NO;;;;;
clip-sifap-forrado-n4-33-mm-x100-unidades;"Clip Sifap Forrado Nº4 33 Mm.X100 Unidades";"Oficina > Clips y Chinches";;;;;;;62.40;;0.06;2.50;6.40;4.20;70;100294;;SI;NO;;;;;
clip-sifap-forrado-n6-50mm-x50;"Clip Sifap Forrado Nº6 50Mm.X50";"Oficina > Clips y Chinches";;;;;;;78.00;;0.06;2.50;6.40;4.20;60;100295;;SI;NO;;;;;
cuaderno-a4-universitario-espiralado-cuadriculado-84-hojas;"Cuaderno A4 Universitario Espiralado Cuadriculado 84 Hojas";"Escolar > Cuadernos";;;;;;;126.00;;0.42;1.50;23.20;29.70;299;040136;;SI;NO;;;;;
cuaderno-a4-universitario-espiralado-rayado-84-hojas;"Cuaderno A4 Universitario Espiralado Rayado  84 Hojas";"Escolar > Cuadernos";;;;;;;126.00;;0.42;1.75;22.00;29.70;249;040028;;SI;NO;;;;;
cuaderno-espiralado-abc-100-hojas-rayado;"Cuaderno Espiralado Abc 100 Hojas Rayado";"Escolar > Cuadernos";;;;;;;260.00;;0.65;2.60;22.00;27.00;20;041149;;SI;NO;;;;;
folio-a4-luma-comun-x10;"Folio A4 Luma Comun X10";"Oficina > Folios, Escolar > Folios";;;;;;;37.95;;0.05;0.50;10.00;24.50;100;150041;;SI;NO;;;;;
folio-a4-luma-reforzado-x10;"Folio A4 Luma Reforzado X10";"Oficina > Folios, Escolar > Folios";;;;;;;63.25;;0.09;1.00;10.00;24.50;197;150021;;SI;NO;;;;;
folio-a4-luma-reforzado-x100;"Folio A4 Luma Reforzado X100";"Escolar > Folios";;;;;;;569.25;;0.80;1.50;25.00;31.00;44;150020;;SI;NO;;;;;
folio-oficio-luma-comun-x10;"Folio Oficio Luma Comun X10";"Escolar > Folios";;;;;;;43.70;;0.06;0.50;10.00;24.50;320;150016;;SI;NO;;;;;
