Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca
agenda-semanal-2023-norpac-tapa-flex-fantasy;Agenda Semanal 2023 Norpac Tapa Flex FANTASY;Agendas > Semanales;;;;;;;2400,00;;0.30;2.50;18.00;21.00;3;322323;;SI;NO;;2023, agenda, semanal, FANTASY;;;NORPAC
agenda-semanal-2023-norpac-tapa-flex-simplicity;Agenda Semanal 2023 Norpac Tapa Flex SIMPLICITY;Agendas > Semanales;;;;;;;2400,00;;0.30;2.50;18.00;21.00;3;322327;;SI;NO;;2023, agenda, semanal, simplicity;;;NORPAC
agenda-semanal-2023-norpac-tapa-dura-power;Agenda Semanal 2023 Norpac Tapa Dura POWER;Agendas > Semanales;;;;;;;2990,00;;0.20;2.50;18.00;21.00;3;322472;;SI;NO;;2023, agenda, semanal, power;;;NORPAC
agenda-semanal-2023-norpac-tapa-dura-femme;Agenda Semanal 2023 Norpac Tapa Dura FEMME;Agendas > Semanales;;;;;;;2990,00;;0.20;2.50;18.00;21.00;3;321685;;SI;NO;;2023, agenda, semanal, femme;;;NORPAC
agenda-semanal-2023-norpac-tapa-dura-clasica;Agenda Semanal 2023 Norpac Tapa Dura CLASICA;Agendas > Semanales;;;;;;;2990,00;;0.20;2.50;18.00;21.00;3;322319;;SI;NO;;2023, agenda, clasica, semanal;;;NORPAC
agenda-semanal-n7-2023-norpac-tapa-dura-femme;Agenda Semanal N7 2023 Norpac Tapa Dura FEMME;Agendas > Semanales;;;;;;;2400,00;;0.20;1.50;13.50;17.50;3;322225;;SI;NO;;2023, agenda, numero 7, semanal, femme;;;NORPAC
agenda-semanal-n7-2023-norpac-tapa-dura-fantasy;Agenda Semanal N7 2023 Norpac Tapa Dura FANTASY;Agendas > Semanales;;;;;;;2400,00;;0.20;1.50;13.50;17.50;3;320640;;SI;NO;;2023, agenda, numero 7, semanal, FANTASY;;;NORPAC
agenda-semanal-n7-2023-norpac-tapa-dura-power;Agenda Semanal N7 2023 Norpac Tapa Dura POWER;Agendas > Semanales;;;;;;;2400,00;;0.20;1.50;13.50;17.50;3;322471;;SI;NO;;2023, agenda, numero 7, semanal, POWER;;;NORPAC
agenda-semanal-n7-2023-norpac-tapa-dura-luxury;Agenda Semanal N7 2023 Norpac Tapa Dura LUXURY;Agendas > Semanales;;;;;;;2400,00;;0.20;1.50;13.50;17.50;3;322469;;SI;NO;;2023, agenda, luxury, semanal, numero 7;;;NORPAC
agenda-semanal-2023-xl-norpac-tapa-dura-fantasy;Agenda Semanal 2023 XL Norpac Tapa Dura FANTASY;Agendas > Semanales;;;;;;;4200,00;;0.30;1.50;20.00;26.00;6;322320;;SI;NO;;2023, agenda, semanal, fantasy, xl;;;NORPAC
agenda-semanal-2023-xl-norpac-tapa-dura-clasica;Agenda Semanal 2023 XL Norpac Tapa Dura CLASICA;Agendas > Semanales;;;;;;;4200,00;;0.30;1.50;20.00;26.00;6;322321;;SI;NO;;2023, agenda, clasica, semanal, xl;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-clasica;Agenda Diaria 2023 Norpac Tapa Dura CLASICA;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;6;321682;;SI;NO;;2023, agenda, dia x dia, clasica;;;NORPAC
agenda-diaria-2023-norpac-tapa-flex-fantasy;Agenda Diaria 2023 Norpac Tapa Flex FANTASY;Agendas > Diarias;;;;;;;3990,00;;0.30;2.50;18.00;21.00;3;322325;;SI;NO;;2023, agenda, dia x dia, fantasy;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-fantasy;Agenda Diaria 2023 Norpac Tapa Dura FANTASY;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;3;320608;;SI;NO;;2023, agenda, dia x dia, fantasy;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-bohemian;Agenda Diaria 2023 Norpac Tapa Dura BOHEMIAN;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;3;322315;;SI;NO;;2023, agenda, dia x dia, bohemian;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-femme;Agenda Diaria 2023 Norpac Tapa Dura FEMME;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;3;321686;;SI;NO;;2023, agenda, dia x dia, femme;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-luxury;Agenda Diaria 2023 Norpac Tapa Dura LUXURY;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;3;321688;;SI;NO;;2023, agenda, dia x dia, luxury;;;NORPAC
agenda-diaria-2023-norpac-tapa-dura-power;Agenda Diaria 2023 Norpac Tapa Dura POWER;Agendas > Diarias;;;;;;;4750,00;;0.30;2.50;18.00;21.00;3;322474;;SI;NO;;agenda, 2023, dia x dia, power;;;NORPAC
pompones-sifap-x-20-varios-colores;Pompones SIFAP x 20 Varios colores;Bazar / Otros;Color;Blanco;;;;;582,31;;0.02;2.00;7.00;15.00;0;391225;;SI;NO;;pompon, pompones, felpa;;;SIFAP
pompones-sifap-x-20-varios-colores;;;Color;Negro;;;;;582,31;;0.02;2.00;7.00;15.00;5;391226;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Rojo;;;;;582,31;;0.02;2.00;7.00;15.00;5;391227;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Rosa;;;;;582,31;;0.02;2.00;7.00;15.00;5;391228;;;;;;;;
pompones-sifap-x-20-varios-colores;;;Color;Fucsia;;;;;582,31;;0.02;2.00;7.00;15.00;5;391229;;;;;;;;
